Name,ID,Genre,Popularity,Followers,Spotify URL,Nationality
Max Raabe,0d2e8VbttQLewZySpLQudr,liedermacher,51,122799,"<a href=""https://open.spotify.com/artist/0d2e8VbttQLewZySpLQudr"" target=""_blank"">https://open.spotify.com/artist/0d2e8VbttQLewZySpLQudr</a>",German
Peter Fox,6rqlONGmPuP2wJVSfliLBI,german pop,65,1004355,"<a href=""https://open.spotify.com/artist/6rqlONGmPuP2wJVSfliLBI"" target=""_blank"">https://open.spotify.com/artist/6rqlONGmPuP2wJVSfliLBI</a>",German
4LYN,0a11kuig1qxic5gH89JymE,german alternative rock,27,16258,"<a href=""https://open.spotify.com/artist/0a11kuig1qxic5gH89JymE"" target=""_blank"">https://open.spotify.com/artist/0a11kuig1qxic5gH89JymE</a>",German
Jan Delay,6c0QoVbhIeiuXWkO6eUIso,,31,1749,"<a href=""https://open.spotify.com/artist/6c0QoVbhIeiuXWkO6eUIso"" target=""_blank"">https://open.spotify.com/artist/6c0QoVbhIeiuXWkO6eUIso</a>",German
Wir sind Helden,3jiOHVFdVQjbSDVeC7RgY7,german pop,54,231277,"<a href=""https://open.spotify.com/artist/3jiOHVFdVQjbSDVeC7RgY7"" target=""_blank"">https://open.spotify.com/artist/3jiOHVFdVQjbSDVeC7RgY7</a>",German
Sportfreunde Stiller,5PwcOudItUhq3ciF9QwaXZ,german indie,54,423503,"<a href=""https://open.spotify.com/artist/5PwcOudItUhq3ciF9QwaXZ"" target=""_blank"">https://open.spotify.com/artist/5PwcOudItUhq3ciF9QwaXZ</a>",German
Eisbrecher,6ul6vL8Hg5jTulDi0Ac8ao,neue deutsche harte,52,430548,"<a href=""https://open.spotify.com/artist/6ul6vL8Hg5jTulDi0Ac8ao"" target=""_blank"">https://open.spotify.com/artist/6ul6vL8Hg5jTulDi0Ac8ao</a>",German
Die Happy,5WvEHnWRNfz9AOLYclfsLM,german alternative rock,29,23310,"<a href=""https://open.spotify.com/artist/5WvEHnWRNfz9AOLYclfsLM"" target=""_blank"">https://open.spotify.com/artist/5WvEHnWRNfz9AOLYclfsLM</a>",German
Die Ärzte,0cbL6CYnRqpAxf1evwUVQD,german alternative rock,65,1229114,"<a href=""https://open.spotify.com/artist/0cbL6CYnRqpAxf1evwUVQD"" target=""_blank"">https://open.spotify.com/artist/0cbL6CYnRqpAxf1evwUVQD</a>",German
Max Herre,7IpWQKu80qQvyer3LO6SW3,german alternative rap,50,170650,"<a href=""https://open.spotify.com/artist/7IpWQKu80qQvyer3LO6SW3"" target=""_blank"">https://open.spotify.com/artist/7IpWQKu80qQvyer3LO6SW3</a>",German
Doro,5GLeyUhj8B8f5pJxqZllKl,german heavy metal,43,195539,"<a href=""https://open.spotify.com/artist/5GLeyUhj8B8f5pJxqZllKl"" target=""_blank"">https://open.spotify.com/artist/5GLeyUhj8B8f5pJxqZllKl</a>",German
Joris,5b1PZFfsuZA8WNvPdWXlpu,,0,16,"<a href=""https://open.spotify.com/artist/5b1PZFfsuZA8WNvPdWXlpu"" target=""_blank"">https://open.spotify.com/artist/5b1PZFfsuZA8WNvPdWXlpu</a>",German
Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,german pop,65,867205,"<a href=""https://open.spotify.com/artist/5tG5dl5mS2wB5w72YBpsyg"" target=""_blank"">https://open.spotify.com/artist/5tG5dl5mS2wB5w72YBpsyg</a>",German
Blümchen,1Wch8598BBzU0zVBtcCFJh,eurodance,52,89143,"<a href=""https://open.spotify.com/artist/1Wch8598BBzU0zVBtcCFJh"" target=""_blank"">https://open.spotify.com/artist/1Wch8598BBzU0zVBtcCFJh</a>",German
Die Apokalyptischen Reiter,04L8hbMJRQ5vFnLeDgA8xn,folk metal,41,74108,"<a href=""https://open.spotify.com/artist/04L8hbMJRQ5vFnLeDgA8xn"" target=""_blank"">https://open.spotify.com/artist/04L8hbMJRQ5vFnLeDgA8xn</a>",German
Subway To Sally,544X9aDcwFDSon8HevRcqg,folk metal,46,140197,"<a href=""https://open.spotify.com/artist/544X9aDcwFDSon8HevRcqg"" target=""_blank"">https://open.spotify.com/artist/544X9aDcwFDSon8HevRcqg</a>",German
Sido,4Yttlv9ndGjCDCVLqM7ACq,german hip hop,72,2407631,"<a href=""https://open.spotify.com/artist/4Yttlv9ndGjCDCVLqM7ACq"" target=""_blank"">https://open.spotify.com/artist/4Yttlv9ndGjCDCVLqM7ACq</a>",German
Kool Savas,1SUu1Bi7ev9HbOzyVC77qD,german hip hop,62,620628,"<a href=""https://open.spotify.com/artist/1SUu1Bi7ev9HbOzyVC77qD"" target=""_blank"">https://open.spotify.com/artist/1SUu1Bi7ev9HbOzyVC77qD</a>",German
Jennifer Rostock,6Sh3owUrsFjZ4qCjtpPV7G,german alternative rock,44,206271,"<a href=""https://open.spotify.com/artist/6Sh3owUrsFjZ4qCjtpPV7G"" target=""_blank"">https://open.spotify.com/artist/6Sh3owUrsFjZ4qCjtpPV7G</a>",German
Söhne Mannheims,7xCzwxwDwXTTCtjcWBoNow,german pop,43,196076,"<a href=""https://open.spotify.com/artist/7xCzwxwDwXTTCtjcWBoNow"" target=""_blank"">https://open.spotify.com/artist/7xCzwxwDwXTTCtjcWBoNow</a>",German
Yvonne Catterfeld,5bKy7Tu2BNmfoFnDC5mncZ,german pop,43,225555,"<a href=""https://open.spotify.com/artist/5bKy7Tu2BNmfoFnDC5mncZ"" target=""_blank"">https://open.spotify.com/artist/5bKy7Tu2BNmfoFnDC5mncZ</a>",German
Madsen,1LsT3D414izg8h3K1VbrL4,german pop,51,207800,"<a href=""https://open.spotify.com/artist/1LsT3D414izg8h3K1VbrL4"" target=""_blank"">https://open.spotify.com/artist/1LsT3D414izg8h3K1VbrL4</a>",German
Fant4stik,6MmSkH5Y9u4wWv8I3dxMhh,frenchcore,25,12214,"<a href=""https://open.spotify.com/artist/6MmSkH5Y9u4wWv8I3dxMhh"" target=""_blank"">https://open.spotify.com/artist/6MmSkH5Y9u4wWv8I3dxMhh</a>",German
Die Doofen,1SSuMuNtLfXyAhhmtsoLb4,german rock,31,14890,"<a href=""https://open.spotify.com/artist/1SSuMuNtLfXyAhhmtsoLb4"" target=""_blank"">https://open.spotify.com/artist/1SSuMuNtLfXyAhhmtsoLb4</a>",German
Farin Urlaub Racing Team,7cHFXNgK44YndrHbEQWsZR,german rock,39,95733,"<a href=""https://open.spotify.com/artist/7cHFXNgK44YndrHbEQWsZR"" target=""_blank"">https://open.spotify.com/artist/7cHFXNgK44YndrHbEQWsZR</a>",German
Die Flippers,043PrBIjao3PCKicMRvbgf,classic schlager,53,181074,"<a href=""https://open.spotify.com/artist/043PrBIjao3PCKicMRvbgf"" target=""_blank"">https://open.spotify.com/artist/043PrBIjao3PCKicMRvbgf</a>",German
Matthias Reim,3fgh28NoU2ArVdUdymvnf3,classic schlager,59,507381,"<a href=""https://open.spotify.com/artist/3fgh28NoU2ArVdUdymvnf3"" target=""_blank"">https://open.spotify.com/artist/3fgh28NoU2ArVdUdymvnf3</a>",German
Laith Al-Deen,40Ei4l9b5mvGHXEuR0xeN3,german pop,40,97885,"<a href=""https://open.spotify.com/artist/40Ei4l9b5mvGHXEuR0xeN3"" target=""_blank"">https://open.spotify.com/artist/40Ei4l9b5mvGHXEuR0xeN3</a>",German
Alexander Marcus,4WmEJkzJ7Z3yeIa98QS93Y,elektropunk,42,60166,"<a href=""https://open.spotify.com/artist/4WmEJkzJ7Z3yeIa98QS93Y"" target=""_blank"">https://open.spotify.com/artist/4WmEJkzJ7Z3yeIa98QS93Y</a>",German
Beatrice Egli,7J8A1bNBCuikXoOOetFCKz,schlager,52,277512,"<a href=""https://open.spotify.com/artist/7J8A1bNBCuikXoOOetFCKz"" target=""_blank"">https://open.spotify.com/artist/7J8A1bNBCuikXoOOetFCKz</a>",German
Heinz Rudolf Kunze,77DQHftPzPyCoqSDjdHDxJ,german pop,50,135631,"<a href=""https://open.spotify.com/artist/77DQHftPzPyCoqSDjdHDxJ"" target=""_blank"">https://open.spotify.com/artist/77DQHftPzPyCoqSDjdHDxJ</a>",German
Joachim Witt,130taNt2uNYJmou3IGnRHV,neue deutsche harte,48,49750,"<a href=""https://open.spotify.com/artist/130taNt2uNYJmou3IGnRHV"" target=""_blank"">https://open.spotify.com/artist/130taNt2uNYJmou3IGnRHV</a>",German
Roland Kaiser,1uphmI1bErhHslREq9QusL,classic schlager,62,959926,"<a href=""https://open.spotify.com/artist/1uphmI1bErhHslREq9QusL"" target=""_blank"">https://open.spotify.com/artist/1uphmI1bErhHslREq9QusL</a>",German
Ute Lemper,7DbmkhVKGV7UiwrbegHL9t,cabaret,28,17583,"<a href=""https://open.spotify.com/artist/7DbmkhVKGV7UiwrbegHL9t"" target=""_blank"">https://open.spotify.com/artist/7DbmkhVKGV7UiwrbegHL9t</a>",German
Roger Cicero,2pR1RkvFKvb2KWSjrbCIP2,german pop,42,161519,"<a href=""https://open.spotify.com/artist/2pR1RkvFKvb2KWSjrbCIP2"" target=""_blank"">https://open.spotify.com/artist/2pR1RkvFKvb2KWSjrbCIP2</a>",German
Die Apokalyptischen Reiter,04L8hbMJRQ5vFnLeDgA8xn,folk metal,41,74108,"<a href=""https://open.spotify.com/artist/04L8hbMJRQ5vFnLeDgA8xn"" target=""_blank"">https://open.spotify.com/artist/04L8hbMJRQ5vFnLeDgA8xn</a>",German
Jennifer Rostock,6Sh3owUrsFjZ4qCjtpPV7G,german alternative rock,44,206271,"<a href=""https://open.spotify.com/artist/6Sh3owUrsFjZ4qCjtpPV7G"" target=""_blank"">https://open.spotify.com/artist/6Sh3owUrsFjZ4qCjtpPV7G</a>",German
Sido,4Yttlv9ndGjCDCVLqM7ACq,german hip hop,72,2407631,"<a href=""https://open.spotify.com/artist/4Yttlv9ndGjCDCVLqM7ACq"" target=""_blank"">https://open.spotify.com/artist/4Yttlv9ndGjCDCVLqM7ACq</a>",German
Kool Savas,1SUu1Bi7ev9HbOzyVC77qD,german hip hop,62,620628,"<a href=""https://open.spotify.com/artist/1SUu1Bi7ev9HbOzyVC77qD"" target=""_blank"">https://open.spotify.com/artist/1SUu1Bi7ev9HbOzyVC77qD</a>",German
Die Atzen,1huEHiP7LUQ8QJHXbzrtDu,german dance,56,159392,"<a href=""https://open.spotify.com/artist/1huEHiP7LUQ8QJHXbzrtDu"" target=""_blank"">https://open.spotify.com/artist/1huEHiP7LUQ8QJHXbzrtDu</a>",German
Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,german hip hop,70,2386522,"<a href=""https://open.spotify.com/artist/4lDiJcOJ2GLCK6p9q5BgfK"" target=""_blank"">https://open.spotify.com/artist/4lDiJcOJ2GLCK6p9q5BgfK</a>",German
Prinz Pi,3OYM3jjPVR60kOqmamRRgk,german alternative rap,51,366712,"<a href=""https://open.spotify.com/artist/3OYM3jjPVR60kOqmamRRgk"" target=""_blank"">https://open.spotify.com/artist/3OYM3jjPVR60kOqmamRRgk</a>",German
Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,german hip hop,68,4302826,"<a href=""https://open.spotify.com/artist/4WZGDpNwrC0vNQyl9QzF7d"" target=""_blank"">https://open.spotify.com/artist/4WZGDpNwrC0vNQyl9QzF7d</a>",German
Lena,5slpk6nu2IwwKx0EHe3GcL,german pop,57,771187,"<a href=""https://open.spotify.com/artist/5slpk6nu2IwwKx0EHe3GcL"" target=""_blank"">https://open.spotify.com/artist/5slpk6nu2IwwKx0EHe3GcL</a>",German
Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,german pop,60,1300558,"<a href=""https://open.spotify.com/artist/12xme1fwd3iGEW7rF9b6tp"" target=""_blank"">https://open.spotify.com/artist/12xme1fwd3iGEW7rF9b6tp</a>",German
Michael Schulte,21aa4pj9BvbFB2iT8kRpnq,german pop,63,330621,"<a href=""https://open.spotify.com/artist/21aa4pj9BvbFB2iT8kRpnq"" target=""_blank"">https://open.spotify.com/artist/21aa4pj9BvbFB2iT8kRpnq</a>",German
Mike Singer,1LRpAVWq5z6VZMG3tTdZKU,german pop,46,384776,"<a href=""https://open.spotify.com/artist/1LRpAVWq5z6VZMG3tTdZKU"" target=""_blank"">https://open.spotify.com/artist/1LRpAVWq5z6VZMG3tTdZKU</a>",German
Pietro Lombardi,387fj6TuPJ3y2H8ViAm6r0,german pop,51,470700,"<a href=""https://open.spotify.com/artist/387fj6TuPJ3y2H8ViAm6r0"" target=""_blank"">https://open.spotify.com/artist/387fj6TuPJ3y2H8ViAm6r0</a>",German
Hikaru Utada,7lbSsjYACZHn1MSDXPxNF2,anime,69,3570201,"<a href=""https://open.spotify.com/artist/7lbSsjYACZHn1MSDXPxNF2"" target=""_blank"">https://open.spotify.com/artist/7lbSsjYACZHn1MSDXPxNF2</a>",Japanese
Arashi,3NhcYJeKTscQ6xO2S6bFUZ,,0,4273,"<a href=""https://open.spotify.com/artist/3NhcYJeKTscQ6xO2S6bFUZ"" target=""_blank"">https://open.spotify.com/artist/3NhcYJeKTscQ6xO2S6bFUZ</a>",Japanese
Perfume,2XMxWKPKCxoLkSdpCViCnr,bitpop,55,818143,"<a href=""https://open.spotify.com/artist/2XMxWKPKCxoLkSdpCViCnr"" target=""_blank"">https://open.spotify.com/artist/2XMxWKPKCxoLkSdpCViCnr</a>",Japanese
Kenshi Yonezu,1snhtMLeb2DYoMOcVbb8iB,anime,76,6142373,"<a href=""https://open.spotify.com/artist/1snhtMLeb2DYoMOcVbb8iB"" target=""_blank"">https://open.spotify.com/artist/1snhtMLeb2DYoMOcVbb8iB</a>",Japanese
Nogizaka46,08lN7bm4Etec8ETFxaTUmq,j-idol,62,1254269,"<a href=""https://open.spotify.com/artist/08lN7bm4Etec8ETFxaTUmq"" target=""_blank"">https://open.spotify.com/artist/08lN7bm4Etec8ETFxaTUmq</a>",Japanese
King & Prince,1nzId6SLDDTUTRV7lNbgxp,,61,170010,"<a href=""https://open.spotify.com/artist/1nzId6SLDDTUTRV7lNbgxp"" target=""_blank"">https://open.spotify.com/artist/1nzId6SLDDTUTRV7lNbgxp</a>",Japanese
AKB48,01wau5CL3Z1vfJJWkzBkqg,48g,56,478147,"<a href=""https://open.spotify.com/artist/01wau5CL3Z1vfJJWkzBkqg"" target=""_blank"">https://open.spotify.com/artist/01wau5CL3Z1vfJJWkzBkqg</a>",Japanese
