Titolo,ID,Durata,Spotify URL,URI,Album
Cocaina,3LuuuNvULPU1GOfSg0HG62,3.48,"<a href=""https://open.spotify.com/track/3LuuuNvULPU1GOfSg0HG62"" target=""_blank"">https://open.spotify.com/track/3LuuuNvULPU1GOfSg0HG62</a>",3LuuuNvULPU1GOfSg0HG62,Supereroe
Donald Trump,2lDI8OOVE5UgLiNP6AVCzF,2.81,"<a href=""https://open.spotify.com/track/2lDI8OOVE5UgLiNP6AVCzF"" target=""_blank"">https://open.spotify.com/track/2lDI8OOVE5UgLiNP6AVCzF</a>",2lDI8OOVE5UgLiNP6AVCzF,Supereroe
Rollercoaster,4WJj8NsyCm3YAADCOe0hrf,3.46,"<a href=""https://open.spotify.com/track/4WJj8NsyCm3YAADCOe0hrf"" target=""_blank"">https://open.spotify.com/track/4WJj8NsyCm3YAADCOe0hrf</a>",4WJj8NsyCm3YAADCOe0hrf,Supereroe
Senza cuore & senza nome,5Q8rYh7lFHzzdSzJdy4oTF,2.91,"<a href=""https://open.spotify.com/track/5Q8rYh7lFHzzdSzJdy4oTF"" target=""_blank"">https://open.spotify.com/track/5Q8rYh7lFHzzdSzJdy4oTF</a>",5Q8rYh7lFHzzdSzJdy4oTF,Supereroe
Claro,6W2f9IsLo8nLFw301YjrrY,3.73,"<a href=""https://open.spotify.com/track/6W2f9IsLo8nLFw301YjrrY"" target=""_blank"">https://open.spotify.com/track/6W2f9IsLo8nLFw301YjrrY</a>",6W2f9IsLo8nLFw301YjrrY,Supereroe
Quella foto di noi due,10hc6GvyWhe2E48PAfQrdD,3.25,"<a href=""https://open.spotify.com/track/10hc6GvyWhe2E48PAfQrdD"" target=""_blank"">https://open.spotify.com/track/10hc6GvyWhe2E48PAfQrdD</a>",10hc6GvyWhe2E48PAfQrdD,Supereroe
Adios,0s4jZrI4JfgFqf637JqBZA,3.21,"<a href=""https://open.spotify.com/track/0s4jZrI4JfgFqf637JqBZA"" target=""_blank"">https://open.spotify.com/track/0s4jZrI4JfgFqf637JqBZA</a>",0s4jZrI4JfgFqf637JqBZA,Supereroe
Supereroe,7uRwfVTXZRSOEpruUyXWMb,3.77,"<a href=""https://open.spotify.com/track/7uRwfVTXZRSOEpruUyXWMb"" target=""_blank"">https://open.spotify.com/track/7uRwfVTXZRSOEpruUyXWMb</a>",7uRwfVTXZRSOEpruUyXWMb,Supereroe
Dope 2,4AsvicHWhsUfzPWPiC31cF,2.86,"<a href=""https://open.spotify.com/track/4AsvicHWhsUfzPWPiC31cF"" target=""_blank"">https://open.spotify.com/track/4AsvicHWhsUfzPWPiC31cF</a>",4AsvicHWhsUfzPWPiC31cF,Supereroe
Come fossimo cowboy,54o1G7sQQfdWjLAI4KJ2AW,3.25,"<a href=""https://open.spotify.com/track/54o1G7sQQfdWjLAI4KJ2AW"" target=""_blank"">https://open.spotify.com/track/54o1G7sQQfdWjLAI4KJ2AW</a>",54o1G7sQQfdWjLAI4KJ2AW,Supereroe
Mille strade,15BbP2LwE19MqI2uacrJFx,3.53,"<a href=""https://open.spotify.com/track/15BbP2LwE19MqI2uacrJFx"" target=""_blank"">https://open.spotify.com/track/15BbP2LwE19MqI2uacrJFx</a>",15BbP2LwE19MqI2uacrJFx,Supereroe
Dal basso,43p3mf4ZB1gwa6mKUSUkEP,3.4,"<a href=""https://open.spotify.com/track/43p3mf4ZB1gwa6mKUSUkEP"" target=""_blank"">https://open.spotify.com/track/43p3mf4ZB1gwa6mKUSUkEP</a>",43p3mf4ZB1gwa6mKUSUkEP,Terza Stagione
Non era vero,4Xd6MuMMX41dQbavX4Rq1q,3.81,"<a href=""https://open.spotify.com/track/4Xd6MuMMX41dQbavX4Rq1q"" target=""_blank"">https://open.spotify.com/track/4Xd6MuMMX41dQbavX4Rq1q</a>",4Xd6MuMMX41dQbavX4Rq1q,Terza Stagione
Prima che sia lunedì,6cNtriRBJjOSwEGcd5LUsS,3.13,"<a href=""https://open.spotify.com/track/6cNtriRBJjOSwEGcd5LUsS"" target=""_blank"">https://open.spotify.com/track/6cNtriRBJjOSwEGcd5LUsS</a>",6cNtriRBJjOSwEGcd5LUsS,Terza Stagione
